2025-12-11 11:02:11,634 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/jetty-ee10-servlet/12.0.30/jetty-ee10-servlet-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/jetty-ee10-servlet/12.0.30/jetty-ee10-servlet-12.0.30.pom.sha1
2025-12-11 11:02:12,082 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/jetty-ee10/12.0.30/jetty-ee10-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/jetty-ee10/12.0.30/jetty-ee10-12.0.30.pom
2025-12-11 11:02:12,233 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/jetty-ee10/12.0.30/jetty-ee10-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/jetty-ee10/12.0.30/jetty-ee10-12.0.30.pom.sha1
2025-12-11 11:02:12,850 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-project/12.0.30/jetty-project-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-project/12.0.30/jetty-project-12.0.30.pom
2025-12-11 11:02:12,942 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-project/12.0.30/jetty-project-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-project/12.0.30/jetty-project-12.0.30.pom.sha1
2025-12-11 11:02:13,201 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-util-ajax/12.0.30/jetty-util-ajax-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-util-ajax/12.0.30/jetty-util-ajax-12.0.30.pom
2025-12-11 11:02:13,331 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-util-ajax/12.0.30/jetty-util-ajax-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-util-ajax/12.0.30/jetty-util-ajax-12.0.30.pom.sha1
2025-12-11 11:02:22,977 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-core/12.0.30/jetty-core-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-core/12.0.30/jetty-core-12.0.30.pom
2025-12-11 11:02:23,465 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-core/12.0.30/jetty-core-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-core/12.0.30/jetty-core-12.0.30.pom.sha1
2025-12-11 11:02:24,023 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-security/12.0.30/jetty-security-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-security/12.0.30/jetty-security-12.0.30.pom
2025-12-11 11:02:24,372 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-security/12.0.30/jetty-security-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-security/12.0.30/jetty-security-12.0.30.pom.sha1
2025-12-11 11:02:24,775 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-server/12.0.30/jetty-http2-server-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-server/12.0.30/jetty-http2-server-12.0.30.pom
2025-12-11 11:02:25,126 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-server/12.0.30/jetty-http2-server-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-server/12.0.30/jetty-http2-server-12.0.30.pom.sha1
2025-12-11 11:02:25,570 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2/12.0.30/jetty-http2-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2/12.0.30/jetty-http2-12.0.30.pom
2025-12-11 11:02:25,999 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2/12.0.30/jetty-http2-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2/12.0.30/jetty-http2-12.0.30.pom.sha1
2025-12-11 11:02:26,332 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-common/12.0.30/jetty-http2-common-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-common/12.0.30/jetty-http2-common-12.0.30.pom
2025-12-11 11:02:26,586 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-common/12.0.30/jetty-http2-common-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-common/12.0.30/jetty-http2-common-12.0.30.pom.sha1
2025-12-11 11:02:30,145 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-hpack/12.0.30/jetty-http2-hpack-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-hpack/12.0.30/jetty-http2-hpack-12.0.30.pom
2025-12-11 11:02:30,466 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-hpack/12.0.30/jetty-http2-hpack-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/http2/jetty-http2-hpack/12.0.30/jetty-http2-hpack-12.0.30.pom.sha1
2025-12-11 11:02:31,200 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-alpn-server/12.0.30/jetty-alpn-server-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-alpn-server/12.0.30/jetty-alpn-server-12.0.30.pom
2025-12-11 11:02:31,647 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-alpn-server/12.0.30/jetty-alpn-server-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-alpn-server/12.0.30/jetty-alpn-server-12.0.30.pom.sha1
2025-12-11 11:02:36,038 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-alpn/12.0.30/jetty-alpn-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-alpn/12.0.30/jetty-alpn-12.0.30.pom
2025-12-11 11:02:36,590 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-alpn/12.0.30/jetty-alpn-12.0.30.pom.sha1] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-alpn/12.0.30/jetty-alpn-12.0.30.pom.sha1
2025-12-11 11:02:37,163 [HttpClient,https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/websocket/jetty-ee10-websocket-jakarta-server/12.0.30/jetty-ee10-websocket-jakarta-server-12.0.30.pom] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/eclipse/jetty/ee10/websocket/jetty-ee10-websocket-jakarta-server/12.0.30/jetty-ee10-websocket-jakarta-server-12.0.30.pom
